lb_memory                       memory        0        00000000           ffffffffffffffff        1           1            loopback memory area
prim_conv_params_me2_01         memory        1        00212000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_01         memory        1        00212400           000000000000003f        1           1            Primitive converter theta LUT
prim_conv_id_me2_01             memory        1        00212800           00000000000000ff        1           0            Primitive converter ID, [7:4]=station, [3:0]=chamber
prim_conv_params_me2_02         memory        1        00213000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_02         memory        1        00213400           000000000000003f        1           1            Primitive converter theta LUT
prim_conv_id_me2_02             memory        1        00213800           00000000000000ff        1           0            Primitive converter ID, [7:4]=station, [3:0]=chamber
prim_conv_params_me2_03         memory        1        00214000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_03         memory        1        00214400           000000000000003f        1           1            Primitive converter theta LUT
prim_conv_id_me2_03             memory        1        00214800           00000000000000ff        1           0            Primitive converter ID, [7:4]=station, [3:0]=chamber
prim_conv_params_me2_04         memory        1        00215000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_04         memory        1        00215400           000000000000003f        1           1            Primitive converter theta LUT
prim_conv_id_me2_04             memory        1        00215800           00000000000000ff        1           0            Primitive converter ID, [7:4]=station, [3:0]=chamber
prim_conv_params_me2_05         memory        1        00216000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_05         memory        1        00216400           000000000000003f        1           1            Primitive converter theta LUT
prim_conv_id_me2_05             memory        1        00216800           00000000000000ff        1           0            Primitive converter ID, [7:4]=station, [3:0]=chamber
prim_conv_params_me2_06         memory        1        00217000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_06         memory        1        00217400           000000000000003f        1           1            Primitive converter theta LUT
prim_conv_id_me2_06             memory        1        00217800           00000000000000ff        1           0            Primitive converter ID, [7:4]=station, [3:0]=chamber
prim_conv_params_me2_07         memory        1        00218000           0000000000001fff        1           1            Primitive converter parameters
prim_conv_th_lut_me2_07         memory        1        00218400           000000000000003f        1           1            Primitive converter theta LUT
